"PAGNUM","PAGFEC","CLICOD","","","","","","","",""
"6432","20190612","1729","","","","","","","",""
"6433","20190612","1776","","","","","","","",""
"6434","20190612","1221","","","","","","","",""
"6435","20190612","1186","","","","","","","",""
"6436","20190612","1220","","","","","","","",""
"6437","20190612","344","","","","","","","",""
"6438","20190612","19","","","","","","","",""
"6439","20190613","185","","","","","","","",""
"6440","20190613","1","","","","","","","",""
"6441","20190614","78","","","","","","","",""
"6442","20190614","574","","","","","","","",""
"6443","20190614","1482","","","","","","","",""
"6444","20190614","1713","","","","","","","",""
"6445","20190614","1769","","","","","","","",""
"6446","20190618","1035","","","","","","","",""
"6447","20190618","329","","","","","","","",""
"6448","20190618","885","","","","","","","",""
"6449","20190618","803","","","","","","","",""
"6450","20190618","319","","","","","","","",""
"6451","20190618","907","","","","","","","",""
"6452","20190618","1756","","","","","","","",""
"6453","20190619","1729","","","","","","","",""
"6454","20190621","1753","","","","","","","",""
"6455","20190621","1593","","","","","","","",""
"6456","20190621","1692","","","","","","","",""
"6457","20190621","1750","","","","","","","",""
"6458","20190621","1187","","","","","","","",""
"6459","20190621","1762","","","","","","","",""
"6460","20190624","1761","","","","","","","",""
"6461","20190624","1708","","","","","","","",""
"6462","20190624","1729","","","","","","","",""
"6463","20190625","163","","","","","","","",""
"6464","20190625","1780","","","","","","","",""
"6465","20190625","1703","","","","","","","",""
"6466","20190625","316","","","","","","","",""
"6467","20190626","209","","","","","","","",""
"6468","20190626","889","","","","","","","",""
"6469","20190626","942","","","","","","","",""
"6470","20190626","1729","","","","","","","",""
"6471","20190627","1041","","","","","","","",""
"6472","20190627","409","","","","","","","",""
"6473","20190628","431","","","","","","","",""
"6474","20190628","1499","","","","","","","",""
"6475","20190701","1776","","","","","","","",""
"6476","20190701","1443","","","","","","","",""
"6477","20190701","1756","","","","","","","",""
"6478","20190701","1471","","","","","","","",""
"6479","20190701","1471","","","","","","","",""
"6480","20190701","1443","","","","","","","",""
"6481","20190701","1443","","","","","","","",""
"6482","20190702","1238","","","","","","","",""
"6483","20190702","1238","","","","","","","",""
"6484","20190702","1571","","","","","","","",""
"6485","20190703","1758","","","","","","","",""
"6486","20190703","1782","","","","","","","",""
"6487","20190703","1","","","","","","","",""
"6488","20190703","1753","","","","","","","",""
"6489","20190704","313","","","","","","","",""
"6490","20190704","57","","","","","","","",""
"6491","20190704","1222","","","","","","","",""
"6492","20190704","209","","","","","","","",""
"6493","20190705","1613","","","","","","","",""
"6494","20190705","1617","","","","","","","",""
"6495","20190705","1779","","","","","","","",""
"6496","20190705","1488","","","","","","","",""
"6497","20190705","204","","","","","","","",""
"6498","20190705","1729","","","","","","","",""
"6499","20190705","1762","","","","","","","",""
"6500","20190705","1698","","","","","","","",""
"6501","20190705","1161","","","","","","","",""
"6502","20190705","1689","","","","","","","",""
"6503","20190705","1690","","","","","","","",""
"6504","20190710","104","","","","","","","",""
"6505","20190710","1721","","","","","","","",""
"6506","20190710","1761","","","","","","","",""
"6507","20190711","1651","","","","","","","",""
"6508","20190711","1708","","","","","","","",""
"6509","20190711","628","","","","","","","",""
"6510","20190711","1648","","","","","","","",""
"6511","20190711","1648","","","","","","","",""
"6512","20190712","1333","","","","","","","",""
"6513","20190712","1713","","","","","","","",""
"6514","20190712","889","","","","","","","",""
"6515","20190712","1707","","","","","","","",""
"6516","20190712","1184","","","","","","","",""
"6517","20190712","1753","","","","","","","",""
"6518","20190712","231","","","","","","","",""
"6519","20190712","690","","","","","","","",""
"6520","20190712","493","","","","","","","",""
"6521","20190712","240","","","","","","","",""
"6522","20190712","1022","","","","","","","",""
"6523","20190712","1768","","","","","","","",""
"6524","20190712","221","","","","","","","",""
"6525","20190715","942","","","","","","","",""
"6526","20190715","1442","","","","","","","",""
"6527","20190715","1713","","","","","","","",""
"6528","20190715","673","","","","","","","",""
"6529","20190716","993","","","","","","","",""
"6530","20190716","710","","","","","","","",""
"6531","20190716","33","","","","","","","",""
"6532","20190716","1762","","","","","","","",""
"6533","20190716","623","","","","","","","",""
"6534","20190716","399","","","","","","","",""
"6535","20190716","632","","","","","","","",""
"6536","20190716","647","","","","","","","",""
"6537","20190716","1232","","","","","","","",""
"6538","20190717","1729","","","","","","","",""
"6539","20190718","185","","","","","","","",""
"6540","20190718","1272","","","","","","","",""
"6541","20190718","1758","","","","","","","",""
"6542","20190719","1571","","","","","","","",""
"6543","20190719","714","","","","","","","",""
"6544","20190719","1464","","","","","","","",""
"6545","20190719","1485","","","","","","","",""
"6546","20190722","1457","","","","","","","",""
"6547","20190722","1580","","","","","","","",""
"6548","20190722","1164","","","","","","","",""
"6549","20190722","1751","","","","","","","",""
"6550","20190722","1687","","","","","","","",""
"6551","20190722","1615","","","","","","","",""
"6552","20190722","1561","","","","","","","",""
"6553","20190722","262","","","","","","","",""
"6554","20190722","1614","","","","","","","",""
"6555","20190722","1584","","","","","","","",""
"6556","20190722","1194","","","","","","","",""
"6557","20190722","1602","","","","","","","",""
"6558","20190722","1771","","","","","","","",""
"6559","20190722","1558","","","","","","","",""
"6560","20190722","1586","","","","","","","",""
"6561","20190722","1562","","","","","","","",""
"6562","20190722","1690","","","","","","","",""
"6563","20190722","1675","","","","","","","",""
"6564","20190722","1706","","","","","","","",""
"6565","20190723","1482","","","","","","","",""
"6566","20190723","1621","","","","","","","",""
"6567","20190723","1708","","","","","","","",""
"6568","20190724","1499","","","","","","","",""
"6569","20190724","1782","","","","","","","",""
"6570","20190724","1547","","","","","","","",""
"6571","20190724","1545","","","","","","","",""
"6572","20190724","603","","","","","","","",""
"6573","20190724","432","","","","","","","",""
"6574","20190724","514","","","","","","","",""
"6575","20190724","1597","","","","","","","",""
"6576","20190724","29","","","","","","","",""
"6577","20190724","189","","","","","","","",""
"6578","20190724","15","","","","","","","",""
"6579","20190724","1533","","","","","","","",""
"6580","20190724","1578","","","","","","","",""
"6581","20190724","1777","","","","","","","",""
"6582","20190724","1735","","","","","","","",""
"6583","20190724","696","","","","","","","",""
"6584","20190724","1750","","","","","","","",""
"6585","20190725","185","","","","","","","",""
"6586","20190725","1165","","","","","","","",""
"6587","20190725","1566","","","","","","","",""
"6588","20190726","1207","","","","","","","",""
"6589","20190726","1778","","","","","","","",""
"6590","20190726","1787","","","","","","","",""
"6591","20190726","69","","","","","","","",""
"6592","20190726","224","","","","","","","",""
"6593","20190726","1205","","","","","","","",""
"6594","20190726","1608","","","","","","","",""
"6595","20190726","696","","","","","","","",""
