"PAGNUM","PAGSEC","PAGTIP","PAGIMP","PAGCHENUM","PAGCHEBAN","PAGCHEEST","PAGOBS","","","","","","","",""
"6137","1","Deposito","18118.5","","CREDICOOP","","","","","","","","","",""
"6138","1","Deposito","7126","","CREDICOOP","","","","","","","","","",""
"6139","1","Deposito","2931","","CREDICOOP","","","","","","","","","",""
"6140","1","Efectivo","10000","","","","","","","","","","","",""
"6141","1","Efectivo","6000","","","","","","","","","","","",""
"6142","1","Efectivo","2000","","","","","","","","","","","",""
"6143","1","Efectivo","2239","","","","","","","","","","","",""
"6144","1","Efectivo","4900","","","","","","","","","","","",""
"6145","1","Cheque","16070","47842856","CREDICOOP","","","","","","","","","",""
"6146","1","Cheque","12393.59","92499832","MACRO","","","","","","","","","",""
"6146","2","Otros","24.84","","RETENCION","","","","","","","","","",""
"6147","1","Efectivo","1000","","","","","","","","","","","",""
"6148","1","Efectivo","750","","","","","","","","","","","",""
"6149","1","Efectivo","2500","","","","","","","","","","","",""
"6150","1","Efectivo","10538.6","","","","","","","","","","","",""
"6151","1","Deposito","16527.33","","CREDICOOP","","","","","","","","","",""
"6152","1","Deposito","5022.1","","CREDICOOP","","","","","","","","","",""
"6153","1","Deposito","29296.78","","CREDICOOP","","","","","","","","","",""
"6154","1","Deposito","6401.98","","CREDICOOP","","","","","","","","","",""
"6155","1","Efectivo","6540","","","","","","","","","","","",""
"6156","1","Cheque","7221.28","00240529","FRANCES","","","","","","","","","",""
"6157","1","Efectivo","5081.9","","","","","","","","","","","",""
"6158","1","Cheque","2707.98","59890432","GALICIA","","","","","","","","","",""
"6159","1","Cheque","8288.33","04019421","GALICIA","","","","","","","","","",""
"6160","1","Cheque","6401.37","00570221","FRANCES","","","","","","","","","",""
"6161","1","Efectivo","4562.9","","","","","","","","","","","",""
"6162","1","Efectivo","3010.87","","","","","","","","","","","",""
"6163","1","Efectivo","77.43","","","","","","","","","","","",""
"6164","1","Cheque","5314.46","65767621","PROVINCIA","","","","","","","","","",""
"6164","2","Cheque","6000","32344181","LA PAMPA","","","","","","","","","",""
"6165","1","Efectivo","1496","","","","","","","","","","","",""
"6166","1","Deposito","4091.49","","CREDICOOP","","","","","","","","","",""
"6167","1","Efectivo","6293.3","","","","","","","","","","","",""
"6168","1","Efectivo","7776.75","","","","","","","","","","","",""
"6169","1","Efectivo","3962.15","","","","","","","","","","","",""
"6170","1","Efectivo","490.6","","","","","","","","","","","",""
"6171","1","Efectivo","6892.53","","","","","","","","","","","",""
"6172","1","Efectivo","4679.09","","","","","","","","","","","",""
"6173","1","Efectivo","1022","","","","","","","","","","","",""
"6174","1","Efectivo","24975.98","","","","","","","","","","","",""
"6175","1","Efectivo","5253.47","","","","","","","","","","","",""
"6176","1","Otros","3570","","DEPOSITO 08-01-19","","","","","","","","","",""
"6177","1","Efectivo","13727.93","","","","","","","","","","","",""
"6178","1","Efectivo","7625.1","","","","","","","","","","","",""
"6179","1","Efectivo","3261.41","","","","","","","","","","","",""
"6180","1","Efectivo","11700.06","","","","","","","","","","","",""
"6181","1","Efectivo","6374.96","","","","","","","","","","","",""
"6182","1","Efectivo","2097.2","","","","","","","","","","","",""
"6183","1","Cheque","9987.9","45801386","RIO","","","","","","","","","",""
"6183","2","Cheque","9987.88","45801387","RIO","","","","","","","","","",""
"6184","1","Efectivo","6007","","","","","","","","","","","",""
"6185","1","Deposito","10000","","CREDICOOP","","","","","","","","","",""
"6186","1","Efectivo","4000","","","","","","","","","","","",""
"6187","1","Efectivo","4700","","","","","","","","","","","",""
"6188","1","Efectivo","2106.03","","","","","","","","","","","",""
"6189","1","Efectivo","3517.5","","","","","","","","","","","",""
"6190","1","Cheque","40000","47216950","CREDICOOP","","","","","","","","","",""
"6191","1","Efectivo","4075","","","","","","","","","","","",""
"6192","1","Efectivo","34000","","","","","","","","","","","",""
"6193","1","Cheque","3000","41563142","CREDICOOP","","","","","","","","","",""
"6193","2","Cheque","27000","46733731","CREDICOOP","","","","","","","","","",""
"6193","3","Efectivo","35000","","","","","","","","","","","",""
"6194","1","Cheque","14284.02","32289521","LA PAMPA","","","","","","","","","",""
"6195","1","Efectivo","1632.4","","","","","","","","","","","",""
"6196","1","Cheque","20000","47213084","3084","","","","","","","","","",""
"6197","1","Cheque","17764.13","17627175","PATAGONIA","","","","","","","","","",""
"6198","1","Efectivo","5995.98","","","","","","","","","","","",""
"6199","1","Efectivo","99000","","","","","","","","","","","",""
"6199","2","Efectivo","17000","","","","","","","","","","","",""
"6201","1","Cheque","6000","01489572","FRANCES","","","","","","","","","",""
"6201","2","Cheque","6000","01489573","FRANCES","","","","","","","","","",""
"6201","3","Cheque","6000","01489565","FRANCES","","","","","","","","","",""
