"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"2052","JASMIN DISFUSOR 2 L","2206.8","5","","187","BID","0","A","P","","","","","","","",""
"2053","FLORES BLANCAS DIFU 5 L","2206.8","5","","200","BID","0","A","P","","","","","","","",""
"2054","FLORAL DIFUSOR 5 L","2206.8","5","","99","5","0","A","P","","","","","","","",""
"2055","FRUTOS ROJOS 5 L","2206.8","5","","97","5","0","A","P","","","","","","","",""
"2056","LIMON DIFUSOR 5 L","2206.8","5","","100","5","0","A","P","","","","","","","",""
"2057","VAINILLA DIFUSOR 5 L","2206.8","5","","7","5","0","A","P","","","","","","","",""
"2058","MARINA DIFUSOR 5 L","2206.8","5","","10","5","0","A","P","","","","","","","",""
"2059","POMELO ROSADO DIFUSOR 5","2206.8","5","","10","5","0","A","P","","","","","","","",""
"1000","CAROLINA HERRERA 212","0","E","","37","EF","0","A","P","","","","","","","",""
"1001","CHANEL 5","0","E","","49","EF","0","A","P","","","","","","","",""
"1002","KENZO FLOWER","0","E","","20","EF","0","A","P","","","","","","","",""
"1003","212 SEXI","0","E","","0","EF","0","A","P","","","","","","","",""
"1004","EDEN","0","E","","18","EF","0","A","P","","","","","","","",""
"1005","AMOR AMOR","0","E","","50","EF","0","A","P","","","","","","","",""
"1006","HALLOWEN","0","E","","50","EF","0","A","P","","","","","","","",""
"1007","CH DE CAROLINA HERRERA","0","E","","20","EF","0","A","P","","","","","","","",""
"1008","NINA","0","E","","0","EF","0","A","P","","","","","","","",""
"1009","LADY MILLON","0","E","","50","EF","0","A","P","","","","","","","",""
"1010","SHAKIRA","0","E","","20","EF","0","A","P","","","","","","","",""
"1011","FANTASY","0","E","","20","EF","0","A","P","","","","","","","",""
"1100","CK ONE","0","E","","48","EF","0","A","P","","","","","","","",""
"1101","KENZO","0","E","","49","EM","0","A","P","","","","","","","",""
"1102","CAROLINA HERRERA 212","0","E","","27","EM","0","A","P","","","","","","","",""
"1103","ACQUA DI GIO","0","E","","49","EM","0","A","P","","","","","","","",""
"1104","POLO BLACK","0","E","","30","EM","0","A","P","","","","","","","",""
"1105","ONE MILLON","0","E","","50","EM","0","A","P","","","","","","","",""
"1106","212 VIP MEN","0","E","","30","EM","0","A","P","","","","","","","",""
"1107","BLUE SEDUCTION","0","E","","50","EM","0","A","P","","","","","","","",""
"1070","SILVESTRE 250 EX","0","7","","51","05","0","A","P","","","","","","","",""
"1071","PERFUMI EX FLORES BLANC","0","7","","99","05","0","A","P","","","","","","","",""
"1072","PERFUMINA EX  MARINA","0","7","","153","05","0","A","P","","","","","","","",""
"1073","PERFUMINA EX VAINILLA","0","7","","138","05","0","A","P","","","","","","","",""
"1074","PERFUMINA EX LIMON","0","7","","107","05","0","A","P","","","","","","","",""
"1075","PERFUMINA EX BAMBU","0","7","","152","05","0","A","P","","","","","","","",""
"1076","PERFUMINA EX PAPAYA","0","7","","157","05","0","A","P","","","","","","","",""
"1077","PERFUMINA EX FRUTOS ROJO","0","7","","163","05","0","A","P","","","","","","","",""
"1078","PERFUMINA EX FLORAL","0","7","","151","05","0","A","P","","","","","","","",""
"1079","PERFUMINA EX FLORES AMA","0","7","","0","05","0","A","P","","","","","","","",""
"1200","DIFUSOR NAQ CHAMPA 100 ML","175","8","","197","06","0","A","C","","","","","","","",""
"1201","DIFUSOR SILVESTRE 100 ML","175","8","","577","06","0","A","P","","","","","","","",""
