"FACLET","FACPV","FACNUM","PRODCOD","FACCAN","FACPRE","","","","","","","",""
"E","NaN","859","663","6","99","","","","","","","",""
"E","NaN","860","02","6","300","","","","","","","",""
"E","NaN","860","029","6","300","","","","","","","",""
"E","NaN","860","030","6","300","","","","","","","",""
"E","NaN","860","031","3","300","","","","","","","",""
"E","NaN","860","032","6","300","","","","","","","",""
"E","NaN","860","05","6","300","","","","","","","",""
"E","NaN","860","10","6","300","","","","","","","",""
"E","NaN","860","108","12","124","","","","","","","",""
"E","NaN","860","14","6","300","","","","","","","",""
"E","NaN","860","16","6","300","","","","","","","",""
"E","NaN","860","18","6","300","","","","","","","",""
"E","NaN","860","19","6","300","","","","","","","",""
"E","NaN","860","21","6","300","","","","","","","",""
"E","NaN","860","25","6","300","","","","","","","",""
"E","NaN","860","40","3","300","","","","","","","",""
"E","NaN","860","43","6","300","","","","","","","",""
"E","NaN","860","45","6","300","","","","","","","",""
"E","NaN","860","601","6","125","","","","","","","",""
"E","NaN","860","E304","3","260","","","","","","","",""
"E","NaN","860","E305","3","260","","","","","","","",""
"E","NaN","861","650","6","99","","","","","","","",""
"E","NaN","861","657","6","99","","","","","","","",""
"E","NaN","861","659","3","99","","","","","","","",""
"E","NaN","861","669","6","99","","","","","","","",""
"E","NaN","861","671","6","99","","","","","","","",""
"E","NaN","862","2099","30","2500","","","","","","","",""
"E","NaN","863","505","1000","98","","","","","","","",""
"E","NaN","864","029","6","336","","","","","","","",""
"E","NaN","864","030","6","336","","","","","","","",""
"E","NaN","864","032","6","336","","","","","","","",""
"E","NaN","864","108","6","141.5","","","","","","","",""
"E","NaN","864","116","6","141.5","","","","","","","",""
"E","NaN","864","1251","6","157","","","","","","","",""
"E","NaN","864","1255","6","157","","","","","","","",""
"E","NaN","864","194","6","141.5","","","","","","","",""
"E","NaN","864","25","3","336","","","","","","","",""
"E","NaN","864","31","3","336","","","","","","","",""
"E","NaN","864","40","3","336","","","","","","","",""
"E","NaN","864","43","6","336","","","","","","","",""
"E","NaN","864","72","6","141.5","","","","","","","",""
"E","NaN","864","SL","42","64","","","","","","","",""
"E","NaN","865","650","6","108.9","","","","","","","",""
"E","NaN","865","657","6","108.9","","","","","","","",""
"E","NaN","865","659","6","108.9","","","","","","","",""
"E","NaN","865","669","6","108.9","","","","","","","",""
"E","NaN","865","671","6","108.9","","","","","","","",""
"E","NaN","866","022","6","356","","","","","","","",""
"E","NaN","866","032","6","356","","","","","","","",""
"E","NaN","866","036","6","356","","","","","","","",""
"E","NaN","866","037","6","356","","","","","","","",""
"E","NaN","866","038","6","356","","","","","","","",""
"E","NaN","866","103","6","155","","","","","","","",""
"E","NaN","866","114","6","155","","","","","","","",""
"E","NaN","866","116","6","155","","","","","","","",""
"E","NaN","866","1200","6","162","","","","","","","",""
"E","NaN","866","1201","6","162","","","","","","","",""
"E","NaN","866","1202","6","162","","","","","","","",""
"E","NaN","866","1203","6","162","","","","","","","",""
"E","NaN","866","1206","6","162","","","","","","","",""
"E","NaN","866","1213","6","162","","","","","","","",""
"E","NaN","866","1224","12","162","","","","","","","",""
"E","NaN","866","1255","12","162","","","","","","","",""
"E","NaN","866","194","6","155","","","","","","","",""
"E","NaN","866","196","6","155","","","","","","","",""
"E","NaN","866","43","6","356","","","","","","","",""
"E","NaN","866","44","6","356","","","","","","","",""
"E","NaN","866","48","6","356","","","","","","","",""
"E","NaN","866","49","6","356","","","","","","","",""
"E","NaN","866","72","6","155","","","","","","","",""
"E","NaN","866","J02","24","88","","","","","","","",""
"E","NaN","867","029","6","356","","","","","","","",""
"E","NaN","867","030","12","356","","","","","","","",""
"E","NaN","867","032","6","356","","","","","","","",""
"E","NaN","867","036","6","356","","","","","","","",""
"E","NaN","867","037","6","356","","","","","","","",""
"E","NaN","867","038","6","356","","","","","","","",""
"E","NaN","867","05","6","356","","","","","","","",""
"E","NaN","867","10","6","356","","","","","","","",""
"E","NaN","867","110","12","155","","","","","","","",""
"E","NaN","867","1203","6","162","","","","","","","",""
"E","NaN","867","1213","6","162","","","","","","","",""
"E","NaN","867","1251","6","162","","","","","","","",""
"E","NaN","867","1255","12","162","","","","","","","",""
"E","NaN","867","194","6","155","","","","","","","",""
"E","NaN","867","22","6","356","","","","","","","",""
"E","NaN","867","23","6","356","","","","","","","",""
"E","NaN","867","43","6","356","","","","","","","",""
"E","NaN","867","48","6","356","","","","","","","",""
"E","NaN","867","49","6","356","","","","","","","",""
"E","NaN","867","650","6","119.8","","","","","","","",""
"E","NaN","867","651","6","119.8","","","","","","","",""
"E","NaN","867","652","6","119.8","","","","","","","",""
"E","NaN","867","655","6","119.8","","","","","","","",""
"E","NaN","867","657","6","119.8","","","","","","","",""
"E","NaN","867","669","6","119.8","","","","","","","",""
"E","NaN","867","671","6","119.8","","","","","","","",""
"E","NaN","867","70","6","155","","","","","","","",""
"E","NaN","867","72","6","155","","","","","","","",""
"E","NaN","867","86","6","155","","","","","","","",""
"E","NaN","867","J01","24","88","","","","","","","",""
