"AJUNUM","AJUFEC","PRODCOD","AJUCAN","AJUOBS","","","","","","","",""
"483","20130325","415","100","","","","","","","","",""
"484","20130325","416","100","","","","","","","","",""
"485","20130325","417","100","","","","","","","","",""
"486","20130325","418","100","","","","","","","","",""
"489","20130325","0100","100","","","","","","","","",""
"491","20130325","E155","1","","","","","","","","",""
"492","20130325","E156","2","","","","","","","","",""
"493","20130325","E157","1","","","","","","","","",""
"494","20130325","E200","50","","","","","","","","",""
"495","20130325","E201","50","","","","","","","","",""
"496","20130325","E202","50","","","","","","","","",""
"497","20130325","E203","50","","","","","","","","",""
"498","20130325","E205","50","","","","","","","","",""
"499","20130325","E206","50","","","","","","","","",""
"500","20130325","E207","50","","","","","","","","",""
"501","20130325","E208","50","","","","","","","","",""
"502","20130325","E209","50","","","","","","","","",""
"505","20130325","E204","50","","","","","","","","",""
"506","20130325","71","50","","","","","","","","",""
"507","20130325","72","50","","","","","","","","",""
"508","20130325","73","50","","","","","","","","",""
"509","20130325","74","50","","","","","","","","",""
"510","20130325","75","50","","","","","","","","",""
"511","20130325","76","50","","","","","","","","",""
"512","20130325","78","50","","","","","","","","",""
"513","20130325","78","50","","","","","","","","",""
"515","20130325","78","-50","","","","","","","","",""
"516","20130325","79","50","","","","","","","","",""
"518","20130325","81","50","","","","","","","","",""
"519","20130325","82","50","","","","","","","","",""
"520","20130325","83","50","","","","","","","","",""
"521","20130325","84","50","","","","","","","","",""
"522","20130325","85","50","","","","","","","","",""
"523","20130325","86","50","","","","","","","","",""
"524","20130325","87","50","","","","","","","","",""
"526","20130325","88","50","","","","","","","","",""
"527","20130325","89","50","","","","","","","","",""
"535","20130409","02","-6","","","","","","","","",""
"536","20130409","020","-6","","","","","","","","",""
"537","20130409","021","-6","","","","","","","","",""
"538","20130409","022","-6","","","","","","","","",""
"539","20130409","023","-6","","","","","","","","",""
"540","20130409","024","-6","","","","","","","","",""
"541","20130409","04","-6","","","","","","","","",""
"542","20130409","07","-12","","","","","","","","",""
"543","20130409","10","-12","","","","","","","","",""
"544","20130409","11","-6","","","","","","","","",""
"545","20130409","13","-6","","","","","","","","",""
"546","20130409","14","-6","","","","","","","","",""
"547","20130409","16","-12","","","","","","","","",""
"548","20130409","18","-6","","","","","","","","",""
"549","20130409","19","-6","","","","","","","","",""
"550","20130409","21","-12","","","","","","","","",""
"556","20130411","080","100","","","","","","","","",""
"557","20130411","081","100","","","","","","","","",""
"558","20130411","083","100","","","","","","","","",""
"559","20130411","084","100","","","","","","","","",""
"560","20130411","085","100","","","","","","","","",""
"561","20130411","086","100","","","","","","","","",""
"562","20130411","087","100","","","","","","","","",""
"563","20130411","088","100","","","","","","","","",""
"564","20130411","089","100","","","","","","","","",""
"565","20130411","090","100","","","","","","","","",""
"566","20130411","091","100","","","","","","","","",""
"567","20130411","092","100","","","","","","","","",""
"568","20130411","095","100","","","","","","","","",""
"569","20130411","0101","100","","","","","","","","",""
"570","20130411","0102","100","","","","","","","","",""
"571","20130411","0103","100","","","","","","","","",""
"572","20130411","0104","100","","","","","","","","",""
"573","20130411","0105","100","","","","","","","","",""
"574","20130411","0106","100","","","","","","","","",""
"576","20130411","098","100","","","","","","","","",""
"577","20130411","099","100","","","","","","","","",""
"578","20130411","0100","100","","","","","","","","",""
"579","20130411","401","100","","","","","","","","",""
"580","20130411","402","100","","","","","","","","",""
"581","20130411","403","100","","","","","","","","",""
"582","20130411","404","100","","","","","","","","",""
"583","20130411","407","100","","","","","","","","",""
"584","20130411","408","100","","","","","","","","",""
"585","20130411","409","100","","","","","","","","",""
"586","20130411","410","100","","","","","","","","",""
"587","20130411","411","100","","","","","","","","",""
"588","20130411","412","100","","","","","","","","",""
"589","20130411","413","100","","","","","","","","",""
"590","20130411","414","100","","","","","","","","",""
"591","20130411","415","100","","","","","","","","",""
"592","20130411","416","100","","","","","","","","",""
"593","20130411","417","100","","","","","","","","",""
"594","20130411","418","100","","","","","","","","",""
"596","20130415","E152","1","","","","","","","","",""
"597","20130415","E155","1","","","","","","","","",""
"598","20130415","E156","1","","","","","","","","",""
"599","20130415","E157","1","","","","","","","","",""
"603","20130422","33","-20","","","","","","","","",""
"605","20130506","83","-6","","","","","","","","",""
"606","20130506","83","-21","","","","","","","","",""
"610","20130513","418","-54","","","","","","","","",""
"615","20130522","083","100","","","","","","","","",""
"617","20130523","417","-67","","","","","","","","",""
"620","20130523","84","-43","","","","","","","","",""
"623","20130527","413","25","","","","","","","","",""
"625","20130527","086","25","","","","","","","","",""
"626","20130527","P100","2","","","","","","","","",""
"627","20130527","P101","2","","","","","","","","",""
"628","20130527","P102","2","","","","","","","","",""
"629","20130527","P103","2","","","","","","","","",""
"630","20130527","P104","2","","","","","","","","",""
"632","20130527","200","4","","","","","","","","",""
"633","20130527","201","6","","","","","","","","",""
"635","20130529","10","50","","","","","","","","",""
"637","20130529","E150","1","","","","","","","","",""
"638","20130529","E152","2","","","","","","","","",""
"639","20130529","E154","1","","","","","","","","",""
"640","20130529","E155","3","","","","","","","","",""
"641","20130529","E156","2","","","","","","","","",""
"643","20130529","201","100","","","","","","","","",""
"644","20130529","200","100","","","","","","","","",""
"646","20130603","086","25","","","","","","","","",""
"648","20130603","413","100","","","","","","","","",""
"651","20130603","21","50","","","","","","","","",""
"656","20130603","403","50","","","","","","","","",""
"659","20130604","201","100","","","","","","","","",""
"661","20130605","25","100","","","","","","","","",""
"663","20130605","P104","20","","","","","","","","",""
"665","20130605","E157","3","","","","","","","","",""
"667","20130606","081","100","","","","","","","","",""
"668","20130606","083","100","","","","","","","","",""
"669","20130606","086","100","","","","","","","","",""
"670","20130606","091","100","","","","","","","","",""
"671","20130606","095","100","","","","","","","","",""
"672","20130606","0103","100","","","","","","","","",""
"673","20130606","0104","100","","","","","","","","",""
"674","20130606","0105","100","","","","","","","","",""
"675","20130606","401","100","","","","","","","","",""
"676","20130606","402","100","","","","","","","","",""
"677","20130606","403","100","","","","","","","","",""
"679","20130606","418","-6","","","","","","","","",""
"681","20130606","E152","2","","","","","","","","",""
"683","20130607","418","-27","","","","","","","","",""
"685","20130607","080","100","","","","","","","","",""
"691","20130610","E150","2","","","","","","","","",""
"692","20130610","E154","1","","","","","","","","",""
"699","20130610","413","100","","","","","","","","",""
"707","20130612","33","5","","","","","","","","",""
"709","20130612","76","25","","","","","","","","",""
"711","20130619","22","100","","","","","","","","",""
"713","20130625","78","4","","","","","","","","",""
"714","20130625","81","6","","","","","","","","",""
"717","20130626","78","5","","","","","","","","",""
"719","20130626","71","50","","","","","","","","",""
"720","20130626","72","50","","","","","","","","",""
"721","20130626","73","50","","","","","","","","",""
"722","20130626","74","50","","","","","","","","",""
"723","20130626","75","50","","","","","","","","",""
"724","20130626","76","50","","","","","","","","",""
"725","20130626","78","50","","","","","","","","",""
