"REMNUM","PRODCOD","REMCAN","REMPRE","","","","","","","",""
"8574","1220","2","93.76","","","","","","","",""
"8574","123","3","72.96","","","","","","","",""
"8574","1254","4","93.76","","","","","","","",""
"8574","194","2","72.96","","","","","","","",""
"8574","2002","3","697.6","","","","","","","",""
"8574","2050","1","1008","","","","","","","",""
"8574","422","4","109.5","","","","","","","",""
"8574","78","3","72.96","","","","","","","",""
"8575","654","3","73","","","","","","","",""
"8575","669","6","73","","","","","","","",""
"8576","79","7","76.8","","","","","","","",""
"8577","650","3","73","","","","","","","",""
"8577","653","2","73","","","","","","","",""
"8577","657","2","73","","","","","","","",""
"8577","662","2","73","","","","","","","",""
"8577","669","2","73","","","","","","","",""
"8578","650","10","73","","","","","","","",""
"8578","651","8","73","","","","","","","",""
"8578","652","8","73","","","","","","","",""
"8578","653","5","73","","","","","","","",""
"8578","654","8","73","","","","","","","",""
"8578","656","8","73","","","","","","","",""
"8578","657","8","73","","","","","","","",""
"8578","658","8","73","","","","","","","",""
"8578","659","8","73","","","","","","","",""
"8578","663","5","73","","","","","","","",""
"8578","666","4","73","","","","","","","",""
"8578","668","8","73","","","","","","","",""
"8578","670","8","73","","","","","","","",""
"8578","672","4","73","","","","","","","",""
"8579","402","1","109.5","","","","","","","",""
"8580","102","4","76.8","","","","","","","",""
"8580","108","3","76.8","","","","","","","",""
"8580","111","3","76.8","","","","","","","",""
"8580","114","4","76.8","","","","","","","",""
"8580","122","4","76.8","","","","","","","",""
"8580","195","4","76.8","","","","","","","",""
"8580","72","2","76.8","","","","","","","",""
"8580","74","3","76.8","","","","","","","",""
"8580","78","6","76.8","","","","","","","",""
"8580","79","6","76.8","","","","","","","",""
"8580","82","2","76.8","","","","","","","",""
"8580","97","3","76.8","","","","","","","",""
"8581","14","1","164.12","","","","","","","",""
"8581","44","1","164.12","","","","","","","",""
"8582","0103","1","109.5","","","","","","","",""
"8582","0104","1","109.5","","","","","","","",""
"8582","0110","1","109.5","","","","","","","",""
"8582","0111","2","109.5","","","","","","","",""
"8582","0113","2","109.5","","","","","","","",""
"8582","0114","1","109.5","","","","","","","",""
"8582","080","2","109.5","","","","","","","",""
"8582","083","1","109.5","","","","","","","",""
"8582","091","1","109.5","","","","","","","",""
"8582","095","2","109.5","","","","","","","",""
"8582","100","2","76.8","","","","","","","",""
"8582","101","1","76.8","","","","","","","",""
"8582","102","2","76.8","","","","","","","",""
"8582","103","2","76.8","","","","","","","",""
"8582","104","1","76.8","","","","","","","",""
"8582","105","3","76.8","","","","","","","",""
"8582","108","2","76.8","","","","","","","",""
"8582","110","1","76.8","","","","","","","",""
"8582","111","3","76.8","","","","","","","",""
"8582","112","2","76.8","","","","","","","",""
"8582","114","2","76.8","","","","","","","",""
"8582","116","4","76.8","","","","","","","",""
"8582","117","2","76.8","","","","","","","",""
"8582","1201","2","98.7","","","","","","","",""
"8582","1203","2","98.7","","","","","","","",""
"8582","1204","2","98.7","","","","","","","",""
"8582","1206","2","98.73","","","","","","","",""
"8582","1207","1","98.7","","","","","","","",""
"8582","1208","4","98.7","","","","","","","",""
"8582","121","2","76.8","","","","","","","",""
"8582","1211","1","98.7","","","","","","","",""
"8582","1212","2","98.7","","","","","","","",""
"8582","1213","1","98.7","","","","","","","",""
"8582","1215","2","98.7","","","","","","","",""
"8582","1216","1","98.7","","","","","","","",""
"8582","1218","2","98.7","","","","","","","",""
"8582","122","3","76.8","","","","","","","",""
"8582","1220","3","98.7","","","","","","","",""
"8582","1221","3","98.7","","","","","","","",""
"8582","1222","2","98.7","","","","","","","",""
"8582","1224","2","98.7","","","","","","","",""
"8582","1225","2","98.7","","","","","","","",""
"8582","1226","2","98.7","","","","","","","",""
"8582","123","2","76.8","","","","","","","",""
"8582","124","2","76.8","","","","","","","",""
"8582","1250","2","98.7","","","","","","","",""
"8582","1251","2","98.7","","","","","","","",""
"8582","1252","2","98.7","","","","","","","",""
"8582","1253","2","98.7","","","","","","","",""
"8582","1254","2","98.7","","","","","","","",""
"8582","1255","2","98.7","","","","","","","",""
"8582","190","3","76.8","","","","","","","",""
