"REMNUM","REMFEC","USUCOD","ESTCOD","VENCOD","REMPED","REMFACNUM","CLICOD","REMPAGNUM","REMLIQNUM","REMDES","REMFACLET","REMEMI","REMFACPV","","","","","","","",""
"8736","20190129","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8737","20190129","1","A","4","0","0","1238","0","0","0","","E","NaN","","","","","","","",""
"8738","20190129","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8739","20190129","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8740","20190129","1","Q","146","0","0","1751","6276","0","0","","E","NaN","","","","","","","",""
"8741","20190129","1","Q","146","0","0","1751","6276","0","0","","E","NaN","","","","","","","",""
"8742","20190130","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8743","20190130","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8744","20190130","1","Q","4","0","0","1571","6118","0","0","","E","NaN","","","","","","","",""
"8745","20190131","1","Q","145","0","0","1573","6059","0","0","","E","NaN","","","","","","","",""
"8746","20190131","1","Q","145","0","0","1573","6059","0","0","","E","NaN","","","","","","","",""
"8747","20190131","1","Q","4","0","0","1499","6090","0","0","","E","NaN","","","","","","","",""
"8748","20190131","1","Q","4","0","0","1499","6090","0","0","","E","NaN","","","","","","","",""
"8749","20190131","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8750","20190131","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8751","20190201","1","Q","25","0","0","493","6156","0","0","","E","NaN","","","","","","","",""
"8752","20190201","1","Q","4","0","0","33","6144","0","0","","E","NaN","","","","","","","",""
"8753","20190201","1","A","4","0","0","1763","0","0","0","","E","NaN","","","","","","","",""
"8754","20190201","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8755","20190201","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8756","20190201","1","Q","4","0","0","1485","6253","0","0","","E","NaN","","","","","","","",""
"8757","20190201","1","Q","4","0","0","1485","6019","0","0","","E","NaN","","","","","","","",""
"8758","20190204","1","Q","145","0","0","37","6330","0","0","","E","NaN","","","","","","","",""
"8759","20190204","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8760","20190204","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8761","20190204","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8762","20190204","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8763","20190204","1","Q","4","0","0","33","6144","0","0","","E","NaN","","","","","","","",""
"8764","20190204","1","Q","144","0","0","1753","6026","0","0","","E","NaN","","","","","","","",""
"8765","20190204","1","Q","144","0","0","1692","6028","0","0","","E","NaN","","","","","","","",""
"8766","20190204","1","Q","144","0","0","1692","6028","0","0","","E","NaN","","","","","","","",""
"8767","20190204","1","Q","104","0","0","1713","6237","0","0","","E","NaN","","","","","","","",""
"8768","20190204","1","Q","104","0","0","1713","6185","0","0","","E","NaN","","","","","","","",""
"8769","20190204","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8770","20190204","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8771","20190204","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8772","20190204","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8773","20190205","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8774","20190205","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8775","20190205","1","Q","145","0","0","1573","6059","0","0","","E","NaN","","","","","","","",""
"8776","20190205","1","Q","4","0","0","1471","6200","0","0","","E","NaN","","","","","","","",""
"8777","20190205","1","Q","4","0","0","1471","6200","0","0","","E","NaN","","","","","","","",""
"8778","20190205","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8779","20190205","1","Q","4","0","0","1238","6116","0","0","","E","NaN","","","","","","","",""
"8780","20190206","1","Q","4","0","0","1566","6120","0","0","","E","NaN","","","","","","","",""
"8781","20190206","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8782","20190206","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8783","20190206","1","A","145","0","0","1573","0","0","0","","E","NaN","","","","","","","",""
"8784","20190206","1","A","145","0","0","1764","0","0","0","","E","NaN","","","","","","","",""
"8785","20190206","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8786","20190206","1","Q","4","0","0","1471","6117","0","0","","E","NaN","","","","","","","",""
"8787","20190206","1","Q","4","0","0","163","6105","0","0","","E","NaN","","","","","","","",""
"8788","20190206","1","Q","4","0","0","163","6105","0","0","","E","NaN","","","","","","","",""
"8789","20190206","1","Q","4","0","0","163","6105","0","0","","E","NaN","","","","","","","",""
"8790","20190206","1","Q","4","0","0","163","6105","0","0","","E","NaN","","","","","","","",""
"8791","20190206","1","Q","4","0","0","1735","6029","0","0","","E","NaN","","","","","","","",""
"8792","20190207","1","A","145","0","0","1765","0","0","0","","E","NaN","","","","","","","",""
"8793","20190207","1","Q","4","0","0","628","6034","0","0","","E","NaN","","","","","","","",""
"8794","20190207","1","Q","4","0","0","628","6034","0","0","","E","NaN","","","","","","","",""
"8795","20190207","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8796","20190207","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8797","20190207","1","Q","146","0","0","1621","6566","0","0","","E","NaN","","","","","","","",""
"8798","20190207","1","Q","146","0","0","1621","6286","0","0","","E","NaN","","","","","","","",""
"8799","20190208","1","Q","144","0","0","1753","6068","0","0","","E","NaN","","","","","","","",""
"8800","20190208","1","Q","146","0","0","1614","6554","0","0","","E","NaN","","","","","","","",""
"8801","20190208","1","Q","145","0","0","209","6058","0","0","","E","NaN","","","","","","","",""
"8802","20190208","1","Q","146","0","0","1687","6278","0","0","","E","NaN","","","","","","","",""
"8803","20190208","1","Q","146","0","0","1687","6278","0","0","","E","NaN","","","","","","","",""
"8804","20190208","1","Q","144","0","0","1756","6038","0","0","","E","NaN","","","","","","","",""
"8805","20190208","1","Q","144","0","0","1756","6163","0","0","","E","NaN","","","","","","","",""
"8806","20190208","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
"8807","20190208","1","Q","4","0","0","1443","6115","0","0","","E","NaN","","","","","","","",""
