"VENCOD","CLICOD","","","","","","","",""
"4","1087","","","","","","","",""
"103","547","","","","","","","",""
"123","1088","","","","","","","",""
"124","1089","","","","","","","",""
"125","1090","","","","","","","",""
"125","1091","","","","","","","",""
"125","1092","","","","","","","",""
"125","1093","","","","","","","",""
"125","1094","","","","","","","",""
"124","1095","","","","","","","",""
"4","1096","","","","","","","",""
"3","1097","","","","","","","",""
"3","1098","","","","","","","",""
"3","1099","","","","","","","",""
"3","1100","","","","","","","",""
"123","1101","","","","","","","",""
"3","1102","","","","","","","",""
"3","1103","","","","","","","",""
"125","1105","","","","","","","",""
"126","1108","","","","","","","",""
"125","1106","","","","","","","",""
"125","1111","","","","","","","",""
"125","1112","","","","","","","",""
"127","1113","","","","","","","",""
"127","1114","","","","","","","",""
"126","1115","","","","","","","",""
"128","1116","","","","","","","",""
"129","1117","","","","","","","",""
"130","1118","","","","","","","",""
"126","1119","","","","","","","",""
"124","1121","","","","","","","",""
"124","1120","","","","","","","",""
"125","1122","","","","","","","",""
"131","1123","","","","","","","",""
"128","1124","","","","","","","",""
"127","1125","","","","","","","",""
"132","1126","","","","","","","",""
"128","1127","","","","","","","",""
"133","1128","","","","","","","",""
"133","1129","","","","","","","",""
"133","1130","","","","","","","",""
"133","1131","","","","","","","",""
"122","1132","","","","","","","",""
"122","1133","","","","","","","",""
"4","1134","","","","","","","",""
"133","1135","","","","","","","",""
"127","1137","","","","","","","",""
"4","1138","","","","","","","",""
"135","1139","","","","","","","",""
"135","1140","","","","","","","",""
"125","1141","","","","","","","",""
"125","1142","","","","","","","",""
"125","1143","","","","","","","",""
"135","1144","","","","","","","",""
"132","1146","","","","","","","",""
"129","1147","","","","","","","",""
"128","1148","","","","","","","",""
"3","1149","","","","","","","",""
"4","1150","","","","","","","",""
"4","1151","","","","","","","",""
"136","1153","","","","","","","",""
"126","1154","","","","","","","",""
"3","1155","","","","","","","",""
"3","1156","","","","","","","",""
"3","1157","","","","","","","",""
"3","1158","","","","","","","",""
"3","1159","","","","","","","",""
"3","1160","","","","","","","",""
"3","1162","","","","","","","",""
"3","1163","","","","","","","",""
"3","1166","","","","","","","",""
"4","219","","","","","","","",""
"123","1167","","","","","","","",""
"100","166","","","","","","","",""
"137","1168","","","","","","","",""
"25","1171","","","","","","","",""
"103","1172","","","","","","","",""
"3","1173","","","","","","","",""
"123","1175","","","","","","","",""
"135","1178","","","","","","","",""
"3","1179","","","","","","","",""
"3","1180","","","","","","","",""
"3","1185","","","","","","","",""
"3","1189","","","","","","","",""
"3","1190","","","","","","","",""
"3","1196","","","","","","","",""
"3","1197","","","","","","","",""
"3","1199","","","","","","","",""
"3","1200","","","","","","","",""
"3","1201","","","","","","","",""
"3","1202","","","","","","","",""
"121","1206","","","","","","","",""
"122","1207","","","","","","","",""
"3","1208","","","","","","","",""
"3","1209","","","","","","","",""
"103","1210","","","","","","","",""
"4","1211","","","","","","","",""
"4","1212","","","","","","","",""
"20","1213","","","","","","","",""
"20","1214","","","","","","","",""
"4","1204","","","","","","","",""
"121","1177","","","","","","","",""
"122","1215","","","","","","","",""
"4","1216","","","","","","","",""
"4","1217","","","","","","","",""
"4","1218","","","","","","","",""
"3","1219","","","","","","","",""
"4","1221","","","","","","","",""
"121","1224","","","","","","","",""
"121","1225","","","","","","","",""
"3","1226","","","","","","","",""
"128","1227","","","","","","","",""
"103","1228","","","","","","","",""
"128","1229","","","","","","","",""
"122","1230","","","","","","","",""
"3","1233","","","","","","","",""
"103","453","","","","","","","",""
"27","1234","","","","","","","",""
"119","1235","","","","","","","",""
"119","1236","","","","","","","",""
"27","1237","","","","","","","",""
"4","1238","","","","","","","",""
"3","1239","","","","","","","",""
"3","1240","","","","","","","",""
"121","1241","","","","","","","",""
"4","1242","","","","","","","",""
"121","1243","","","","","","","",""
"112","1245","","","","","","","",""
"25","1246","","","","","","","",""
"25","226","","","","","","","",""
"4","1247","","","","","","","",""
"4","1248","","","","","","","",""
"4","1250","","","","","","","",""
"4","1252","","","","","","","",""
"121","1193","","","","","","","",""
"111","1253","","","","","","","",""
"27","1256","","","","","","","",""
"27","1257","","","","","","","",""
"4","1258","","","","","","","",""
